I, [2018-03-06T09:17:47.800640 #13324]  INFO -- Kitchen: -----> Starting Kitchen (v1.19.2)
E, [2018-03-06T09:17:47.803641 #13324] ERROR -- Kitchen: ------Exception-------
E, [2018-03-06T09:17:47.803641 #13324] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2018-03-06T09:17:47.803641 #13324] ERROR -- Kitchen: Message: Kitchen YAML file C:/Dev/Personal/ChefCookbooks/.kitchen.yml does not exist.
E, [2018-03-06T09:17:47.803641 #13324] ERROR -- Kitchen: ----------------------
E, [2018-03-06T09:17:47.803641 #13324] ERROR -- Kitchen: ------Backtrace-------
E, [2018-03-06T09:17:47.803641 #13324] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2018-03-06T09:17:47.803641 #13324] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:152:in `data'
E, [2018-03-06T09:17:47.804642 #13324] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:131:in `suites'
E, [2018-03-06T09:17:47.804642 #13324] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:182:in `filter_instances'
E, [2018-03-06T09:17:47.804642 #13324] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:141:in `build_instances'
E, [2018-03-06T09:17:47.804642 #13324] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:117:in `instances'
E, [2018-03-06T09:17:47.804642 #13324] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2018-03-06T09:17:47.804642 #13324] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2018-03-06T09:17:47.804642 #13324] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command/action.rb:35:in `block in call'
E, [2018-03-06T09:17:47.804642 #13324] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2018-03-06T09:17:47.804642 #13324] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command/action.rb:34:in `call'
E, [2018-03-06T09:17:47.804642 #13324] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/cli.rb:52:in `perform'
E, [2018-03-06T09:17:47.804642 #13324] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2018-03-06T09:17:47.804642 #13324] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2018-03-06T09:17:47.804642 #13324] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2018-03-06T09:17:47.804642 #13324] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2018-03-06T09:17:47.804642 #13324] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2018-03-06T09:17:47.804642 #13324] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/bin/kitchen:13:in `block in <top (required)>'
E, [2018-03-06T09:17:47.804642 #13324] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2018-03-06T09:17:47.804642 #13324] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/bin/kitchen:13:in `<top (required)>'
E, [2018-03-06T09:17:47.804642 #13324] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:267:in `load'
E, [2018-03-06T09:17:47.805642 #13324] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:267:in `<main>'
E, [2018-03-06T09:17:47.805642 #13324] ERROR -- Kitchen: ----End Backtrace-----
